Area,Date,Assets,,,,,,,,,,,,,
UK,07/03/2019,489015,,,,,,,,,,,,,
UK,07/10/2019,487373,,,,,,,,,,,,,
UK,07/17/2019,480773,,,,,,,,,,,,,
UK,07/24/2019,487025,,,,,,,,,,,,,
UK,07/31/2019,486936,,,,,,,,,,,,,
UK,08/07/2019,487676,,,,,,,,,,,,,
UK,08/14/2019,487144,,,,,,,,,,,,,
UK,08/21/2019,486850,,,,,,,,,,,,,
UK,08/28/2019,477604,,,,,,,,,,,,,
UK,09/04/2019,466583,,,,,,,,,,,,,
UK,09/11/2019,468687,,,,,,,,,,,,,
UK,09/18/2019,472920,,,,,,,,,,,,,
UK,09/25/2019,476654,,,,,,,,,,,,,
UK,10/02/2019,480443,,,,,,,,,,,,,
UK,10/09/2019,484757,,,,,,,,,,,,,
