Area,Date,Assets,,,,,,,,
USA,24/07/2020,6964755,,,,,,,,
USA,31/07/2020,6949032,,,,,,,,
USA,08/07/2020,6945237,,,,,,,,
USA,14/08/2020,6957277,,,,,,,,
USA,21/08/2020,7010637,,,,,,,,
USA,28/08/2020,6990418,,,,,,,,
USA,09/04/2020,7017492,,,,,,,,
USA,09/11/2020,7010614,,,,,,,,
USA,18/09/2020,7064475,,,,,,,,
USA,25/09/2020,7093161,,,,,,,,
USA,10/02/2020,7056129,,,,,,,,
USA,10/09/2020,7074649,,,,,,,,
USA,16/10/2020,7151426,,,,,,,,
USA,23/10/2020,7177265,,,,,,,,
USA,30/10/2020,7146306,,,,,,,,
USA,11/06/2020,7157479,,,,,,,,
USA,13/11/2020,7175417,,,,,,,,
USA,20/11/2020,7243080,,,,,,,,
USA,27/11/2020,7216480,,,,,,,,
USA,12/04/2020,7222414,,,,,,,,
USA,12/11/2020,7242658,,,,,,,,
USA,18/12/2020,7362592,,,,,,,,
USA,25/12/2020,7404039,,,,,,,,
USA,01/01/2021,7363351,,,,,,,,
USA,01/08/2021,7334809,,,,,,,,
USA,15/01/2021,7333968,,,,,,,,
USA,22/01/2021,7414942,,,,,,,,
USA,29/01/2021,7404926,,,,,,,,
USA,02/05/2021,7410598,,,,,,,,
USA,02/12/2021,7442225,,,,,,,,
USA,19/02/2021,7557402,,,,,,,,
USA,26/02/2021,7590111,,,,,,,,
USA,03/05/2021,7557524,,,,,,,,
USA,03/12/2021,7579901,,,,,,,,
USA,19/03/2021,7693506,,,,,,,,
USA,26/03/2021,7719622,,,,,,,,
USA,04/02/2021,7688988,,,,,,,,
USA,04/09/2021,7708882,,,,,,,,
USA,16/04/2021,7793104,,,,,,,,
USA,23/04/2021,7820948,,,,,,,,
USA,30/04/2021,7780962,,,,,,,,
USA,05/07/2021,7810486,,,,,,,,
USA,14/05/2021,7830663,,,,,,,,
USA,21/05/2021,7922883,,,,,,,,
USA,28/05/2021,7903541,,,,,,,,
USA,06/04/2021,7935703,,,,,,,,
USA,06/11/2021,7952327,,,,,,,,
USA,18/06/2021,8064257,,,,,,,,
USA,25/06/2021,8101945,,,,,,,,
USA,07/02/2021,8078544,,,,,,,,
USA,07/09/2021,8097773,,,,,,,,
USA,16/07/2021,8201651,,,,,,,,
USA,23/07/2021,8240530,,,,,,,,
USA,30/07/2021,8221473,,,,,,,,
USA,08/06/2021,8235073,,,,,,,,
USA,13/08/2021,8257159,,,,,,,,
USA,20/08/2021,8342598,,,,,,,,
USA,27/08/2021,8332743,,,,,,,,
USA,09/03/2021,8349173,,,,,,,,
USA,09/10/2021,8357314,,,,,,,,
USA,17/09/2021,8448770,,,,,,,,
USA,24/09/2021,8489824,,,,,,,,
USA,10/01/2021,8447981,,,,,,,,
USA,10/08/2021,8464032,,,,,,,,
USA,15/10/2021,8480942,,,,,,,,
USA,22/10/2021,8564943,,,,,,,,
USA,29/10/2021,8556181,,,,,,,,
USA,11/05/2021,8574871,,,,,,,,
USA,11/12/2021,8663117,,,,,,,,
USA,19/11/2021,8674970,,,,,,,,
USA,26/11/2021,8681771,,,,,,,,
USA,12/03/2021,8650402,,,,,,,,
USA,12/10/2021,8664524,,,,,,,,
USA,17/12/2021,8756666,,,,,,,,
USA,24/12/2021,8790495,,,,,,,,
UK,01/05/2018,465536,,,,,,,,
UK,01/12/2018,467473,,,,,,,,
UK,19/01/2018,469351,,,,,,,,
UK,26/01/2018,471629,,,,,,,,
UK,02/02/2018,472128,,,,,,,,
UK,02/09/2018,473964,,,,,,,,
UK,16/02/2018,478462,,,,,,,,
UK,23/02/2018,480877,,,,,,,,
UK,03/02/2018,492226,,,,,,,,
UK,03/09/2018,473603,,,,,,,,
UK,16/03/2018,474943,,,,,,,,
UK,23/03/2018,478595,,,,,,,,
UK,30/03/2018,481950,,,,,,,,
UK,04/06/2018,483981,,,,,,,,
UK,13/04/2018,491192,,,,,,,,
UK,20/04/2018,496425,,,,,,,,
UK,27/04/2018,496302,,,,,,,,
UK,05/04/2018,495298,,,,,,,,
UK,05/11/2018,495869,,,,,,,,
UK,18/05/2018,494283,,,,,,,,
UK,25/05/2018,488391,,,,,,,,
UK,06/01/2018,493354,,,,,,,,
UK,06/08/2018,491577,,,,,,,,
UK,15/06/2018,487703,,,,,,,,
UK,22/06/2018,488221,,,,,,,,
UK,29/06/2018,488323,,,,,,,,
UK,07/06/2018,487918,,,,,,,,
UK,13/07/2018,490315,,,,,,,,
UK,20/07/2018,484138,,,,,,,,
UK,27/07/2018,486890,,,,,,,,
UK,08/03/2018,488157,,,,,,,,
UK,08/10/2018,489566,,,,,,,,
UK,17/08/2018,491426,,,,,,,,
UK,24/08/2018,488556,,,,,,,,
UK,31/08/2018,490880,,,,,,,,
UK,09/07/2018,491073,,,,,,,,
UK,14/09/2018,487381,,,,,,,,
UK,21/09/2018,487671,,,,,,,,
UK,28/09/2018,488810,,,,,,,,
UK,10/05/2018,489126,,,,,,,,
UK,10/12/2018,491587,,,,,,,,
UK,19/10/2018,492930,,,,,,,,
UK,26/10/2018,492580,,,,,,,,
UK,11/02/2018,491033,,,,,,,,
UK,11/09/2018,492628,,,,,,,,
UK,16/11/2018,487888,,,,,,,,
UK,23/11/2018,488529,,,,,,,,
UK,30/11/2018,488938,,,,,,,,
UK,12/07/2018,487301,,,,,,,,
UK,14/12/2018,486572,,,,,,,,
UK,21/12/2018,484932,,,,,,,,
UK,28/12/2018,484262,,,,,,,,
UK,01/04/2019,485156,,,,,,,,
UK,01/11/2019,487445,,,,,,,,
UK,18/01/2019,489815,,,,,,,,
UK,25/01/2019,487910,,,,,,,,
UK,02/01/2019,488792,,,,,,,,
UK,02/08/2019,488315,,,,,,,,
UK,15/02/2019,491320,,,,,,,,
UK,22/02/2019,491212,,,,,,,,
UK,03/01/2019,491220,,,,,,,,
UK,03/08/2019,471255,,,,,,,,
UK,15/03/2019,473585,,,,,,,,
UK,22/03/2019,476641,,,,,,,,
UK,29/03/2019,478655,,,,,,,,
UK,04/05/2019,482697,,,,,,,,
UK,04/12/2019,489268,,,,,,,,
UK,19/04/2019,491067,,,,,,,,
UK,26/04/2019,492892,,,,,,,,
UK,05/03/2019,495534,,,,,,,,
UK,05/10/2019,491878,,,,,,,,
UK,17/05/2019,491822,,,,,,,,
UK,24/05/2019,490866,,,,,,,,
UK,31/05/2019,491997,,,,,,,,
UK,06/07/2019,492925,,,,,,,,
UK,14/06/2019,487661,,,,,,,,
UK,21/06/2019,488356,,,,,,,,
UK,28/06/2019,489961,,,,,,,,
UK,07/05/2019,489015,,,,,,,,
UK,07/12/2019,487373,,,,,,,,
UK,19/07/2019,480773,,,,,,,,
UK,26/07/2019,487025,,,,,,,,
UK,08/02/2019,486936,,,,,,,,
UK,08/09/2019,487676,,,,,,,,
UK,16/08/2019,487144,,,,,,,,
UK,23/08/2019,486850,,,,,,,,
UK,30/08/2019,477604,,,,,,,,
UK,09/06/2019,466583,,,,,,,,
UK,13/09/2019,468687,,,,,,,,
UK,20/09/2019,472920,,,,,,,,
UK,27/09/2019,476654,,,,,,,,
UK,10/04/2019,480443,,,,,,,,
UK,10/11/2019,484757,,,,,,,,
UK,18/10/2019,484528,,,,,,,,
UK,25/10/2019,484366,,,,,,,,
UK,11/01/2019,485886,,,,,,,,
UK,11/08/2019,487077,,,,,,,,
UK,15/11/2019,485724,,,,,,,,
UK,22/11/2019,483761,,,,,,,,
UK,29/11/2019,483356,,,,,,,,
UK,12/06/2019,484171,,,,,,,,
UK,13/12/2019,479192,,,,,,,,
UK,20/12/2019,476327,,,,,,,,
UK,27/12/2019,475579,,,,,,,,
UK,01/03/2020,473150,,,,,,,,
UK,01/10/2020,475642,,,,,,,,
UK,17/01/2020,474291,,,,,,,,
UK,24/01/2020,473473,,,,,,,,
UK,31/01/2020,475796,,,,,,,,
UK,02/07/2020,475770,,,,,,,,
UK,14/02/2020,476201,,,,,,,,
UK,21/02/2020,477016,,,,,,,,
UK,28/02/2020,474973,,,,,,,,
UK,03/06/2020,469040,,,,,,,,
UK,13/03/2020,460129,,,,,,,,
UK,20/03/2020,465635,,,,,,,,
UK,27/03/2020,481339,,,,,,,,
UK,04/03/2020,512834,,,,,,,,
UK,04/10/2020,532371,,,,,,,,
UK,17/04/2020,552079,,,,,,,,
UK,24/04/2020,570640,,,,,,,,
UK,05/01/2020,594210,,,,,,,,
UK,05/08/2020,614755,,,,,,,,
UK,15/05/2020,627404,,,,,,,,
UK,22/05/2020,643792,,,,,,,,
UK,29/05/2020,657680,,,,,,,,
UK,06/05/2020,666056,,,,,,,,
UK,06/12/2020,675541,,,,,,,,
UK,19/06/2020,686007,,,,,,,,
UK,26/06/2020,694623,,,,,,,,
